contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250423C00400000,2025-04-10 18:52:51+00:00,400.0,127.64,140.73,143.58,0.0,0.0,,24,1.2368202221679687,True,REGULAR,USD
SPY250423C00405000,2025-04-11 14:24:00+00:00,405.0,118.33,135.75,138.6,0.0,0.0,,2,1.197269638671875,True,REGULAR,USD
SPY250423C00415000,2025-04-10 15:03:30+00:00,415.0,113.66,125.81,128.68,0.0,0.0,,15,1.1214643536376954,True,REGULAR,USD
SPY250423C00487000,2025-04-11 16:39:28+00:00,487.0,50.05,55.87,56.15,0.0,0.0,,1,0.5928995788574221,True,REGULAR,USD
SPY250423C00488000,2025-04-10 17:11:59+00:00,488.0,38.57,54.79,55.0,0.0,0.0,,3,0.5788616333007812,True,REGULAR,USD
SPY250423C00495000,2025-04-11 14:07:21+00:00,495.0,39.8,48.04,48.23,0.0,0.0,,2,0.5328415856933593,True,REGULAR,USD
SPY250423C00498000,2025-04-11 14:02:50+00:00,498.0,46.62,45.29,45.51,10.419998,28.784523,,2,0.5197801928710937,True,REGULAR,USD
SPY250423C00500000,2025-04-14 19:05:40+00:00,500.0,43.67,43.43,43.62,10.369999,31.141138,1.0,1559,0.5082446636962892,True,REGULAR,USD
SPY250423C00501000,2025-04-11 14:30:30+00:00,501.0,31.7,42.28,42.47,0.0,0.0,,5,0.49725844543457043,True,REGULAR,USD
SPY250423C00503000,2025-04-11 14:02:50+00:00,503.0,41.97,40.63,40.83,9.710003,30.099205,,1,0.4952443054199219,True,REGULAR,USD
SPY250423C00505000,2025-04-14 18:08:34+00:00,505.0,37.59,38.69,38.87,3.130001,9.082998,3.0,20,0.4792532543945312,True,REGULAR,USD
SPY250423C00510000,2025-04-14 13:37:16+00:00,510.0,31.0,34.21,34.41,4.9799995,19.139122,6.0,10,0.4554497814941406,True,REGULAR,USD
SPY250423C00511000,2025-04-14 14:03:15+00:00,511.0,34.72,33.28,33.45,3.790001,12.253478,3.0,12,0.44775942871093743,True,REGULAR,USD
SPY250423C00512000,2025-04-14 17:29:10+00:00,512.0,29.97,32.52,32.73,1.539999,5.41681,19.0,19,0.44885805053710937,True,REGULAR,USD
SPY250423C00513000,2025-04-09 17:38:35+00:00,513.0,28.03,31.44,31.61,0.0,0.0,,6,0.43506424316406256,True,REGULAR,USD
SPY250423C00514000,2025-04-11 14:32:21+00:00,514.0,22.6,30.64,30.81,0.0,0.0,,2,0.43286699951171875,True,REGULAR,USD
SPY250423C00515000,2025-04-14 18:45:29+00:00,515.0,29.59,29.71,29.86,-0.35000038,-1.1690059,2.0,10,0.4251156121826172,True,REGULAR,USD
SPY250423C00516000,2025-04-11 17:54:33+00:00,516.0,29.52,28.99,29.17,0.0,0.0,,4,0.42639733764648446,True,REGULAR,USD
SPY250423C00517000,2025-04-14 14:51:48+00:00,517.0,30.41,28.06,28.22,9.709999,46.908203,8.0,4,0.41834077758789057,True,REGULAR,USD
SPY250423C00518000,2025-04-14 14:49:40+00:00,518.0,23.91,27.12,27.27,-2.6200008,-9.875616,28.0,28,0.41022318298339844,True,REGULAR,USD
SPY250423C00519000,2025-04-11 17:45:43+00:00,519.0,26.07,26.27,26.42,0.0,0.0,,2,0.4053404193115234,True,REGULAR,USD
SPY250423C00520000,2025-04-14 13:59:03+00:00,520.0,23.12,25.48,25.62,-0.5299988,-2.2410097,2.0,84,0.4019835192871094,True,REGULAR,USD
SPY250423C00521000,2025-04-11 20:02:09+00:00,521.0,23.12,24.51,24.67,0.0,0.0,,30,0.3934386828613281,True,REGULAR,USD
SPY250423C00522000,2025-04-14 13:47:49+00:00,522.0,24.28,23.86,24.01,2.1200008,9.566792,21.0,61,0.3942321319580079,True,REGULAR,USD
SPY250423C00523000,2025-04-11 17:45:22+00:00,523.0,23.42,23.28,23.42,0.0,0.0,,64,0.39685661743164063,True,REGULAR,USD
SPY250423C00524000,2025-04-14 18:24:01+00:00,524.0,21.76,22.2,22.33,3.4099998,18.583105,6.0,55,0.3833679827880859,True,REGULAR,USD
SPY250423C00525000,2025-04-14 18:48:33+00:00,525.0,20.95,21.44,21.58,-0.15999985,-0.75793386,13.0,48,0.38043832458496096,True,REGULAR,USD
SPY250423C00526000,2025-04-11 17:03:53+00:00,526.0,20.53,20.85,21.0,1.3299999,6.927083,2.0,7,0.38245246459960935,True,REGULAR,USD
SPY250423C00527000,2025-04-11 19:17:08+00:00,527.0,20.5,19.78,19.94,1.4699993,7.724642,2.0,16,0.3695131408691406,True,REGULAR,USD
SPY250423C00528000,2025-04-11 19:07:43+00:00,528.0,20.49,18.94,19.07,1.9200001,10.339257,1.0,76,0.3621889953613281,True,REGULAR,USD
SPY250423C00529000,2025-04-11 19:53:18+00:00,529.0,17.34,18.47,18.6,0.0,0.0,,32,0.3665834826660156,True,REGULAR,USD
SPY250423C00530000,2025-04-14 18:23:22+00:00,530.0,17.05,17.53,17.64,0.34000015,2.034711,43.0,82,0.3561465753173828,True,REGULAR,USD
SPY250423C00531000,2025-04-14 18:45:42+00:00,531.0,16.63,16.81,16.93,0.51999855,3.2277997,46.0,99,0.35278967529296873,True,REGULAR,USD
SPY250423C00532000,2025-04-14 18:37:57+00:00,532.0,15.8,15.95,16.05,-0.74999905,-4.531717,4.0,82,0.34421432159423826,True,REGULAR,USD
SPY250423C00533000,2025-04-14 17:05:00+00:00,533.0,13.44,15.3,15.4,-1.3900003,-9.372895,99.0,128,0.34204759521484374,True,REGULAR,USD
SPY250423C00534000,2025-04-14 17:51:22+00:00,534.0,13.36,14.56,14.65,-0.34000015,-2.4817529,43.0,62,0.33667655517578127,True,REGULAR,USD
SPY250423C00535000,2025-04-14 19:18:19+00:00,535.0,14.16,13.88,13.98,0.40999985,2.981817,751.0,643,0.3332586206054688,True,REGULAR,USD
SPY250423C00536000,2025-04-14 17:30:03+00:00,536.0,11.76,13.29,13.38,-1.6199999,-12.107622,66.0,27,0.33148861877441405,True,REGULAR,USD
SPY250423C00537000,2025-04-14 19:16:53+00:00,537.0,12.65,12.46,12.54,0.07999992,0.6364354,216.0,91,0.32257757507324214,True,REGULAR,USD
SPY250423C00538000,2025-04-14 18:27:50+00:00,538.0,12.14,11.9,11.98,-0.009999275,-0.08229856,246.0,195,0.32117378051757806,True,REGULAR,USD
SPY250423C00539000,2025-04-14 18:59:53+00:00,539.0,10.89,11.13,11.2,0.10000038,0.9267876,170.0,27,0.31323928955078123,True,REGULAR,USD
SPY250423C00540000,2025-04-14 19:17:03+00:00,540.0,10.72,10.56,10.62,-0.07999992,-0.74074,1869.0,264,0.31055376953124997,False,REGULAR,USD
SPY250423C00541000,2025-04-14 19:16:53+00:00,541.0,10.04,10.05,10.13,0.010000229,0.099703185,239.0,158,0.31000445861816406,False,REGULAR,USD
SPY250423C00542000,2025-04-14 19:18:23+00:00,542.0,9.44,9.38,9.44,-1.0300007,-9.837638,159.0,35,0.30335169311523436,False,REGULAR,USD
SPY250423C00543000,2025-04-14 18:57:17+00:00,543.0,8.59,8.7,8.76,-0.60999966,-6.630431,143.0,24,0.29657685852050775,False,REGULAR,USD
SPY250423C00544000,2025-04-14 15:54:12+00:00,544.0,6.91,8.3,8.37,-1.2600002,-15.422279,139.0,47,0.29755341125488277,False,REGULAR,USD
SPY250423C00545000,2025-04-14 19:29:12+00:00,545.0,7.78,7.65,7.71,-0.5999999,-7.1599035,2042.0,632,0.29041236938476556,False,REGULAR,USD
SPY250423C00546000,2025-04-14 19:09:15+00:00,546.0,7.38,7.06,7.11,-1.2399998,-14.385148,88.0,29,0.28443098388671867,False,REGULAR,USD
SPY250423C00547000,2025-04-14 17:53:09+00:00,547.0,5.98,6.68,6.75,-1.06,-15.056817,24.0,45,0.2849802947998046,False,REGULAR,USD
SPY250423C00548000,2025-04-14 19:09:15+00:00,548.0,6.3,6.12,6.19,-0.4699998,-6.9423895,72.0,163,0.27912097839355465,False,REGULAR,USD
SPY250423C00549000,2025-04-14 19:24:44+00:00,549.0,5.8,5.61,5.67,-0.6899996,-10.631735,93.0,77,0.27387200744628903,False,REGULAR,USD
SPY250423C00550000,2025-04-14 19:30:18+00:00,550.0,5.25,5.15,5.2,-0.8699999,-14.215684,746.0,268,0.26947752014160153,False,REGULAR,USD
SPY250423C00555000,2025-04-14 19:29:39+00:00,555.0,3.3,3.22,3.25,-0.81999993,-19.902912,2387.0,70,0.2510450872802734,False,REGULAR,USD
SPY250423C00560000,2025-04-14 19:19:29+00:00,560.0,1.83,1.82,1.87,-0.91999996,-33.454544,1296.0,224,0.2356033471679687,False,REGULAR,USD
SPY250423C00565000,2025-04-14 19:29:37+00:00,565.0,0.95,0.95,0.98,-0.81,-46.022728,647.0,136,0.22266402343749997,False,REGULAR,USD
SPY250423C00570000,2025-04-14 19:18:15+00:00,570.0,0.43,0.45,0.48,-0.56,-56.565655,300.0,400,0.2133867724609375,False,REGULAR,USD
SPY250423C00575000,2025-04-14 19:05:00+00:00,575.0,0.2,0.2,0.22,-0.40000004,-66.66667,70.0,344,0.2067950415039062,False,REGULAR,USD
SPY250423C00580000,2025-04-14 19:16:26+00:00,580.0,0.11,0.1,0.12,-0.25,-69.44444,99.0,1418,0.20899228515624996,False,REGULAR,USD
SPY250423C00585000,2025-04-14 18:46:04+00:00,585.0,0.09,0.06,0.07,-0.16999999,-65.38461,34.0,50,0.2133867724609375,False,REGULAR,USD
SPY250423C00590000,2025-04-14 19:27:06+00:00,590.0,0.03,0.03,0.05,-0.089999996,-52.94118,38.0,60,0.22364057617187497,False,REGULAR,USD
SPY250423C00595000,2025-04-11 19:24:15+00:00,595.0,0.07,0.02,0.04,-0.020000003,-22.222223,1.0,149,0.23535920898437498,False,REGULAR,USD
SPY250423C00600000,2025-04-14 17:12:50+00:00,600.0,0.04,0.02,0.04,-0.050000004,-55.555557,30.0,315,0.252937158203125,False,REGULAR,USD
