contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250416C00360000,2025-04-10 16:08:12+00:00,360.0,159.03,180.24,183.12,0.0,0.0,,1,2.7861358471679694,True,REGULAR,USD
SPY250416C00378000,2025-04-09 17:19:22+00:00,378.0,128.68,162.25,164.23,0.0,0.0,,1,2.4072305444335935,True,REGULAR,USD
SPY250416C00388000,2025-04-09 17:18:51+00:00,388.0,113.2,152.25,154.52,0.0,0.0,,1,2.29053161743164,True,REGULAR,USD
SPY250416C00392000,2025-04-09 17:18:53+00:00,392.0,108.5,148.25,150.78,0.0,0.0,,1,2.258549275512695,True,REGULAR,USD
SPY250416C00400000,2025-04-11 16:32:02+00:00,400.0,129.72,140.26,142.34,0.0,0.0,6.0,33,2.097905145874023,True,REGULAR,USD
SPY250416C00403000,2025-04-09 14:23:13+00:00,403.0,97.6,137.26,139.22,0.0,0.0,,1,2.042485362548828,True,REGULAR,USD
SPY250416C00406000,2025-04-09 19:50:00+00:00,406.0,138.4,134.26,137.11,0.0,0.0,,1,2.0854540051269526,True,REGULAR,USD
SPY250416C00408000,2025-04-08 16:31:30+00:00,408.0,106.13,132.26,134.38,0.0,0.0,,1,1.9873047509765625,True,REGULAR,USD
SPY250416C00409000,2025-04-09 17:18:51+00:00,409.0,92.45,131.26,133.24,0.0,0.0,,1,1.9594728588867185,True,REGULAR,USD
SPY250416C00411000,2025-04-09 17:18:52+00:00,411.0,89.47,129.26,131.46,0.0,0.0,,2,1.9526369555664065,True,REGULAR,USD
SPY250416C00420000,2025-04-14 17:19:07+00:00,420.0,118.14,120.26,122.41,14.339996,13.815025,4.0,1,1.8212899560546876,True,REGULAR,USD
SPY250416C00421000,2025-04-11 17:06:03+00:00,421.0,111.75,119.26,121.34,0.0,0.0,,1,1.8007822460937497,True,REGULAR,USD
SPY250416C00425000,2025-04-07 13:47:30+00:00,425.0,67.59,115.27,117.39,0.0,0.0,,1,1.7504895288085938,True,REGULAR,USD
SPY250416C00435000,2025-04-04 13:53:16+00:00,435.0,90.08,105.39,107.43,0.0,0.0,1.0,1,1.6259784326171873,True,REGULAR,USD
SPY250416C00438000,2025-04-09 18:44:46+00:00,438.0,96.49,102.27,104.36,0.0,0.0,,1,1.5693380908203123,True,REGULAR,USD
SPY250416C00440000,2025-04-11 15:00:03+00:00,440.0,87.16,100.27,103.13,0.0,0.0,,24,1.6025410498046875,True,REGULAR,USD
SPY250416C00443000,2025-04-10 13:31:39+00:00,443.0,90.05,97.29,99.36,0.0,0.0,,7,1.5026880334472654,True,REGULAR,USD
SPY250416C00444000,2025-04-11 17:41:01+00:00,444.0,90.89,96.28,98.4,0.0,0.0,,1,1.491457620849609,True,REGULAR,USD
SPY250416C00445000,2025-04-14 18:53:52+00:00,445.0,95.89,95.53,97.41,5.1800003,5.710506,1.0,1,1.4980493847656249,True,REGULAR,USD
SPY250416C00446000,2025-04-11 17:41:01+00:00,446.0,88.11,94.53,96.52,0.0,0.0,,6,1.4926783178710936,True,REGULAR,USD
SPY250416C00447000,2025-04-09 19:50:00+00:00,447.0,97.86,93.28,95.36,0.0,0.0,,5,1.4477566674804687,True,REGULAR,USD
SPY250416C00448000,2025-04-11 17:57:18+00:00,448.0,88.0,92.28,94.48,0.0,0.0,,3,1.443362158203125,True,REGULAR,USD
SPY250416C00449000,2025-04-11 17:41:01+00:00,449.0,86.34,91.28,93.26,0.0,0.0,,2,1.4128447326660156,True,REGULAR,USD
SPY250416C00450000,2025-04-11 17:41:02+00:00,450.0,84.44,90.28,92.27,0.0,0.0,8.0,13,1.4001494836425783,True,REGULAR,USD
SPY250416C00451000,2025-04-11 17:41:01+00:00,451.0,82.76,89.28,91.37,0.0,0.0,,3,1.394290137939453,True,REGULAR,USD
SPY250416C00452000,2025-04-11 17:41:01+00:00,452.0,81.8,88.28,91.11,0.0,0.0,,1,1.4345731396484376,True,REGULAR,USD
SPY250416C00453000,2025-04-11 17:41:01+00:00,453.0,82.08,87.29,89.44,0.0,0.0,,2,1.3732941491699218,True,REGULAR,USD
SPY250416C00454000,2025-04-11 17:41:01+00:00,454.0,81.25,86.29,89.13,0.0,0.0,,2,1.4091826416015625,True,REGULAR,USD
SPY250416C00455000,2025-04-11 17:41:01+00:00,455.0,79.49,85.29,88.12,0.0,0.0,,9,1.39453427734375,True,REGULAR,USD
SPY250416C00456000,2025-04-11 17:41:01+00:00,456.0,78.28,84.47,86.19,0.0,0.0,,11,1.3276400805664061,True,REGULAR,USD
SPY250416C00460000,2025-04-09 18:46:47+00:00,460.0,75.27,80.29,82.38,0.0,0.0,,5,1.2744176904296873,True,REGULAR,USD
SPY250416C00461000,2025-04-10 15:27:03+00:00,461.0,66.45,79.29,81.45,0.0,0.0,,10,1.2661169506835934,True,REGULAR,USD
SPY250416C00462000,2025-04-11 17:59:34+00:00,462.0,73.97,78.3,81.14,0.0,0.0,,13,1.2998081884765622,True,REGULAR,USD
