contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250415C00350000,2025-04-10 16:27:38+00:00,350.0,161.19,190.5,192.46,0.0,0.0,,2,3.551270653076172,True,REGULAR,USD
SPY250415C00390000,2025-04-09 16:19:39+00:00,390.0,110.81,150.76,152.53,0.0,0.0,,1,2.8344755700683595,True,REGULAR,USD
SPY250415C00395000,2025-04-09 17:18:52+00:00,395.0,105.2,145.75,147.53,0.0,0.0,,1,2.74219064453125,True,REGULAR,USD
SPY250415C00400000,2025-04-10 15:22:55+00:00,400.0,125.6,140.19,142.59,0.0,0.0,,1,2.5918003955078124,True,REGULAR,USD
SPY250415C00405000,2025-04-09 17:18:50+00:00,405.0,96.08,135.2,137.76,0.0,0.0,,6,2.52490603149414,True,REGULAR,USD
SPY250415C00410000,2025-04-04 14:24:21+00:00,410.0,109.02,130.31,132.41,0.0,0.0,1.0,1,2.4086953845214842,True,REGULAR,USD
SPY250415C00415000,2025-04-07 18:37:00+00:00,415.0,94.64,125.2,127.47,0.0,0.0,,1,2.3164104589843744,True,REGULAR,USD
SPY250415C00417000,2025-04-09 18:44:08+00:00,417.0,118.04,123.75,126.07,0.0,0.0,,5,2.405277424316406,True,REGULAR,USD
SPY250415C00418000,2025-04-09 18:42:00+00:00,418.0,120.22,122.2,124.42,0.0,0.0,,2,2.25928169555664,True,REGULAR,USD
SPY250415C00419000,2025-04-09 18:42:00+00:00,419.0,119.09,121.39,123.42,0.0,0.0,,3,2.263187935791015,True,REGULAR,USD
SPY250415C00420000,2025-04-14 17:19:07+00:00,420.0,118.08,120.49,122.42,4.1399994,3.6334908,4.0,9,2.2568402954101563,True,REGULAR,USD
SPY250415C00421000,2025-04-09 18:21:14+00:00,421.0,114.33,119.75,121.51,0.0,0.0,,1,2.2768597766113277,True,REGULAR,USD
SPY250415C00422000,2025-04-09 17:19:21+00:00,422.0,85.39,118.76,120.88,0.0,0.0,,1,2.2983440979003906,True,REGULAR,USD
SPY250415C00425000,2025-04-10 16:44:45+00:00,425.0,95.0,115.2,117.42,0.0,0.0,,1,2.139653088378906,True,REGULAR,USD
SPY250415C00427000,2025-04-11 20:06:04+00:00,427.0,106.6,113.2,115.62,0.0,0.0,,2,2.1274460876464842,True,REGULAR,USD
SPY250415C00430000,2025-04-07 14:02:06+00:00,430.0,68.43,110.2,112.42,0.0,0.0,,2,2.0551806433105466,True,REGULAR,USD
SPY250415C00431000,2025-04-09 17:18:52+00:00,431.0,70.02,109.2,112.07,0.0,0.0,,1,2.104741066284179,True,REGULAR,USD
SPY250415C00435000,2025-04-07 18:29:11+00:00,435.0,73.77,105.2,107.59,0.0,0.0,,24,1.9885254479980468,True,REGULAR,USD
SPY250415C00438000,2025-04-10 18:10:28+00:00,438.0,85.52,102.39,104.5,0.0,0.0,,2,1.9477541674804688,True,REGULAR,USD
SPY250415C00440000,2025-04-07 14:02:06+00:00,440.0,59.39,100.34,102.45,0.0,0.0,,1,1.9042973535156251,True,REGULAR,USD
SPY250415C00442000,2025-04-10 19:07:21+00:00,442.0,85.62,98.2,101.07,0.0,0.0,,1,1.9165043237304689,True,REGULAR,USD
SPY250415C00443000,2025-04-09 15:50:44+00:00,443.0,58.54,97.38,99.28,0.0,0.0,,1,1.8413093872070312,True,REGULAR,USD
SPY250415C00444000,2025-04-10 19:07:21+00:00,444.0,83.91,96.2,98.61,0.0,0.0,,1,1.839356271972656,True,REGULAR,USD
SPY250415C00445000,2025-04-10 14:52:43+00:00,445.0,83.98,95.79,97.54,0.0,0.0,,30,1.8706061157226563,True,REGULAR,USD
SPY250415C00447000,2025-04-10 14:52:43+00:00,447.0,82.07,93.39,95.46,0.0,0.0,,2,1.79296978515625,True,REGULAR,USD
SPY250415C00448000,2025-04-11 17:41:01+00:00,448.0,86.7,92.2,94.59,0.0,0.0,,1,1.7705089599609374,True,REGULAR,USD
SPY250415C00450000,2025-04-11 17:41:01+00:00,450.0,83.54,90.2,92.5,0.0,0.0,,8,1.7290052612304687,True,REGULAR,USD
SPY250415C00451000,2025-04-11 17:41:01+00:00,451.0,83.61,89.78,91.52,0.0,0.0,,2,1.7661144506835935,True,REGULAR,USD
SPY250415C00453000,2025-04-11 17:41:01+00:00,453.0,80.75,87.2,89.77,0.0,0.0,,2,1.7036147631835936,True,REGULAR,USD
SPY250415C00454000,2025-04-10 14:52:43+00:00,454.0,75.11,86.77,88.83,0.0,0.0,,1,1.7409680920410153,True,REGULAR,USD
SPY250415C00455000,2025-04-10 15:34:12+00:00,455.0,69.44,85.77,87.86,0.0,0.0,,3,1.7263197277832032,True,REGULAR,USD
SPY250415C00456000,2025-04-11 15:27:18+00:00,456.0,68.19,84.77,86.54,0.0,0.0,,4,1.6826187744140624,True,REGULAR,USD
SPY250415C00457000,2025-04-11 15:27:18+00:00,457.0,66.02,83.21,86.08,0.0,0.0,,4,1.6640641796875002,True,REGULAR,USD
SPY250415C00458000,2025-04-11 15:27:18+00:00,458.0,65.32,82.34,84.51,0.0,0.0,,7,1.6098652319335938,True,REGULAR,USD
SPY250415C00459000,2025-04-11 15:27:18+00:00,459.0,65.51,81.55,83.51,0.0,0.0,,6,1.6110859289550783,True,REGULAR,USD
SPY250415C00460000,2025-04-11 15:27:18+00:00,460.0,63.94,80.35,82.47,0.0,0.0,,7,1.573976739501953,True,REGULAR,USD
SPY250415C00461000,2025-04-11 17:13:59+00:00,461.0,76.7,79.35,81.45,5.939995,8.394566,,2,1.5556662841796873,True,REGULAR,USD
SPY250415C00462000,2025-04-10 18:34:58+00:00,462.0,66.71,78.21,80.77,0.0,0.0,,1,1.554201447753906,True,REGULAR,USD
SPY250415C00464000,2025-04-10 19:26:28+00:00,464.0,63.75,76.21,78.57,0.0,0.0,,2,1.5043970092773438,True,REGULAR,USD
SPY250415C00465000,2025-04-10 14:52:43+00:00,465.0,64.44,75.8,77.88,0.0,0.0,,5,1.5600607934570312,True,REGULAR,USD
SPY250415C00466000,2025-04-10 19:26:28+00:00,466.0,61.83,74.79,76.84,0.0,0.0,,4,1.5390648046875,True,REGULAR,USD
SPY250415C00467000,2025-04-10 14:52:43+00:00,467.0,62.51,73.21,76.08,0.0,0.0,,2,1.495852130126953,True,REGULAR,USD
SPY250415C00468000,2025-04-11 17:41:01+00:00,468.0,66.93,72.21,74.74,0.0,0.0,,6,1.4521511767578126,True,REGULAR,USD
SPY250415C00469000,2025-04-10 19:00:00+00:00,469.0,58.9,71.4,73.34,0.0,0.0,,5,1.418704078369141,True,REGULAR,USD
SPY250415C00470000,2025-04-11 17:41:01+00:00,470.0,64.21,70.45,72.51,0.0,0.0,,11,1.419680635986328,True,REGULAR,USD
SPY250415C00471000,2025-04-11 15:27:18+00:00,471.0,65.5,69.53,71.51,11.439999,21.161669,2.0,8,1.4094267810058594,True,REGULAR,USD
SPY250415C00472000,2025-04-10 14:52:43+00:00,472.0,57.73,68.39,70.47,0.0,0.0,,3,1.3786652160644528,True,REGULAR,USD
SPY250415C00473000,2025-04-11 17:41:01+00:00,473.0,61.15,67.53,69.46,0.0,0.0,,4,1.3723175915527341,True,REGULAR,USD
SPY250415C00474000,2025-04-11 17:41:01+00:00,474.0,61.11,66.21,68.44,0.0,0.0,,5,1.3291049169921871,True,REGULAR,USD
