contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250417C00260000,2025-04-14 15:38:17+00:00,260.0,278.3,281.35,281.62,4.0999756,1.49525,5.0,567,3.950683717041015,True,REGULAR,USD
SPY250417C00270000,2025-04-04 14:39:14+00:00,270.0,246.57,270.35,273.06,0.0,0.0,2.0,1,3.833008229980469,True,REGULAR,USD
SPY250417C00275000,2025-04-10 14:13:06+00:00,275.0,252.53,265.35,267.34,0.0,0.0,2.0,4,3.6396493383789066,True,REGULAR,USD
SPY250417C00280000,2025-04-10 16:25:32+00:00,280.0,232.93,260.35,263.19,0.0,0.0,26.0,26,3.6728523803710944,True,REGULAR,USD
SPY250417C00285000,2025-02-06 16:06:56+00:00,285.0,321.51,290.58,291.79,0.0,0.0,1.0,1,7.724853859558106,True,REGULAR,USD
SPY250417C00290000,2024-12-16 05:05:26+00:00,290.0,298.06,299.38,302.43,0.0,0.0,,1,8.83850545249939,True,REGULAR,USD
SPY250417C00295000,2025-04-11 19:21:55+00:00,295.0,240.05,245.71,247.62,0.0,0.0,1.0,2,3.390138243408203,True,REGULAR,USD
SPY250417C00300000,2025-04-10 16:05:03+00:00,300.0,217.12,240.37,243.24,0.0,0.0,24.0,336,3.3427750805664056,True,REGULAR,USD
SPY250417C00305000,2025-01-27 14:30:00+00:00,305.0,292.05,287.79,290.45,0.0,0.0,12.0,32,8.582524167175293,True,REGULAR,USD
SPY250417C00310000,2025-04-07 18:03:39+00:00,310.0,198.92,230.7,232.58,0.0,0.0,,10,3.1416037084960937,True,REGULAR,USD
SPY250417C00319000,2025-04-11 18:51:31+00:00,319.0,214.47,221.66,223.61,0.0,0.0,,2,3.000490780029297,True,REGULAR,USD
SPY250417C00320000,2025-04-10 13:31:47+00:00,320.0,212.17,220.56,222.62,0.0,0.0,4.0,2,2.9741236584472657,True,REGULAR,USD
SPY250417C00325000,2025-04-09 14:23:17+00:00,325.0,175.1,215.39,218.24,0.0,0.0,10.0,10,2.9497096569824217,True,REGULAR,USD
SPY250417C00330000,2025-04-10 20:01:21+00:00,330.0,195.92,210.39,213.18,0.0,0.0,1.0,1,2.86719033203125,True,REGULAR,USD
SPY250417C00335000,2025-03-14 19:58:25+00:00,335.0,228.42,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250417C00339000,2025-04-10 18:51:56+00:00,339.0,188.25,201.4,204.23,0.0,0.0,,5,2.739749244384766,True,REGULAR,USD
SPY250417C00340000,2025-04-11 13:30:04+00:00,340.0,184.08,200.4,203.25,0.0,0.0,1.0,1,2.727298103637695,True,REGULAR,USD
SPY250417C00341000,2025-04-11 18:59:42+00:00,341.0,191.5,199.4,202.25,0.0,0.0,,1,2.712649702758789,True,REGULAR,USD
SPY250417C00345000,2025-03-14 17:28:46+00:00,345.0,216.97,0.0,0.0,0.0,0.0,13.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY250417C00350000,2025-04-11 18:59:42+00:00,350.0,182.5,190.41,192.27,0.0,0.0,1.0,1,2.480472548828125,True,REGULAR,USD
SPY250417C00355000,2025-03-13 17:45:18+00:00,355.0,195.59,178.63,180.39,0.0,0.0,21.0,8,1.0000000000000003e-05,True,REGULAR,USD
SPY250417C00359000,2025-04-08 16:31:29+00:00,359.0,153.9,181.41,184.14,0.0,0.0,,1,2.44531638671875,True,REGULAR,USD
SPY250417C00360000,2025-04-11 17:44:02+00:00,360.0,176.34,180.42,182.4,0.0,0.0,4.0,3,2.3584025415039056,True,REGULAR,USD
SPY250417C00365000,2025-04-11 16:15:12+00:00,365.0,163.7,175.42,178.27,0.0,0.0,2.0,1,2.3752482025146477,True,REGULAR,USD
SPY250417C00370000,2025-04-10 15:57:59+00:00,370.0,149.93,170.42,173.28,0.0,0.0,1.0,7,2.3073772784423827,True,REGULAR,USD
SPY250417C00375000,2025-04-11 19:21:55+00:00,375.0,160.21,165.43,167.42,0.0,0.0,1.0,11,2.160160849609375,True,REGULAR,USD
SPY250417C00380000,2025-04-11 13:54:56+00:00,380.0,148.61,160.43,163.29,0.0,0.0,2.0,14,2.1735885504150394,True,REGULAR,USD
SPY250417C00385000,2025-04-11 15:36:12+00:00,385.0,139.77,155.44,158.25,0.0,0.0,4.0,2,2.1042527862548823,True,REGULAR,USD
SPY250417C00388000,2025-04-09 17:18:51+00:00,388.0,112.84,152.44,155.28,0.0,0.0,,1,2.06714350402832,True,REGULAR,USD
SPY250417C00389000,2025-04-09 17:18:51+00:00,389.0,112.12,151.44,154.31,0.0,0.0,,1,2.056401343383789,True,REGULAR,USD
SPY250417C00390000,2025-03-12 19:52:06+00:00,390.0,169.57,143.73,145.5,0.0,0.0,100.0,3,1.0000000000000003e-05,True,REGULAR,USD
SPY250417C00394000,2025-04-09 17:18:47+00:00,394.0,107.82,146.45,148.51,0.0,0.0,,4,1.924316784667969,True,REGULAR,USD
SPY250417C00395000,2025-04-09 17:18:52+00:00,395.0,105.17,145.44,148.24,0.0,0.0,1.0,54,1.9719239685058594,True,REGULAR,USD
SPY250417C00396000,2025-04-08 18:30:03+00:00,396.0,110.98,144.75,146.68,0.0,0.0,,1,1.9384768701171877,True,REGULAR,USD
SPY250417C00397000,2025-04-07 15:13:28+00:00,397.0,109.72,143.52,145.66,0.0,0.0,,10,1.9047856323242187,True,REGULAR,USD
SPY250417C00400000,2025-04-14 19:30:56+00:00,400.0,141.46,140.45,142.46,6.150009,4.5451255,2.0,188,1.8437507812499998,True,REGULAR,USD
SPY250417C00401000,2025-04-09 19:50:00+00:00,401.0,143.63,139.45,142.3,0.0,0.0,,15,1.8999028442382815,True,REGULAR,USD
