contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250430C00532000,2025-04-14 18:26:18+00:00,532.0,18.44,18.85,18.94,-0.29999924,-1.6008497,120.0,346,0.32807068420410157,True,REGULAR,USD
SPY250430C00533000,2025-04-14 17:59:02+00:00,533.0,18.64,18.2,18.29,0.87999916,4.9549503,179.0,814,0.3259955096435546,True,REGULAR,USD
SPY250430C00534000,2025-04-14 19:21:47+00:00,534.0,17.84,17.51,17.6,0.62000084,3.6004696,165.0,280,0.32282171325683584,True,REGULAR,USD
SPY250430C00535000,2025-04-14 19:21:55+00:00,535.0,17.1,16.69,16.77,0.35000038,2.0895545,593.0,1705,0.31641308593749995,True,REGULAR,USD
SPY250430C00536000,2025-04-14 19:24:25+00:00,536.0,16.5,16.0,16.09,0.47999954,2.9962518,130.0,560,0.3130561859130859,True,REGULAR,USD
SPY250430C00537000,2025-04-14 19:08:34+00:00,537.0,15.84,15.55,15.62,0.40999985,2.6571603,161.0,488,0.31403273864746095,True,REGULAR,USD
SPY250430C00538000,2025-04-14 19:21:55+00:00,538.0,15.05,14.78,14.85,0.22000027,1.4834813,150.0,593,0.3082954913330078,True,REGULAR,USD
SPY250430C00539000,2025-04-14 18:57:27+00:00,539.0,13.94,14.02,14.1,-0.3600006,-2.5174868,166.0,726,0.30274134765625,True,REGULAR,USD
SPY250430C00540000,2025-04-14 19:28:36+00:00,540.0,13.76,13.44,13.5,0.07000065,0.5113269,2335.0,51265,0.30023893127441403,False,REGULAR,USD
SPY250430C00541000,2025-04-14 19:23:18+00:00,541.0,13.01,12.86,12.93,-0.21000004,-1.5885025,780.0,907,0.2981027221679687,False,REGULAR,USD
SPY250430C00542000,2025-04-14 19:06:34+00:00,542.0,12.6,12.25,12.33,0.03999996,0.318471,931.0,521,0.29505099487304687,False,REGULAR,USD
SPY250430C00543000,2025-04-14 19:22:41+00:00,543.0,11.79,11.71,11.78,-0.21000004,-1.7500004,383.0,434,0.292853751220703,False,REGULAR,USD
SPY250430C00544000,2025-04-14 19:06:18+00:00,544.0,11.22,11.01,11.08,-0.32999992,-2.8571422,137.0,540,0.2871470211791991,False,REGULAR,USD
SPY250430C00545000,2025-04-14 19:30:11+00:00,545.0,10.66,10.57,10.63,-0.3699999,-3.3544867,953.0,1908,0.286567192993164,False,REGULAR,USD
SPY250430C00546000,2025-04-14 19:18:09+00:00,546.0,9.99,9.88,9.95,-0.64000034,-6.020699,91.0,601,0.280707876586914,False,REGULAR,USD
SPY250430C00547000,2025-04-14 19:13:55+00:00,547.0,9.75,9.39,9.46,-0.17000008,-1.7137104,132.0,232,0.2787242538452148,False,REGULAR,USD
SPY250430C00548000,2025-04-14 19:15:02+00:00,548.0,9.15,8.89,8.96,-0.40000057,-4.1884875,215.0,1021,0.2762218374633788,False,REGULAR,USD
SPY250430C00549000,2025-04-14 19:08:15+00:00,549.0,8.53,8.27,8.34,-0.4499998,-5.011134,246.0,477,0.2707287283325196,False,REGULAR,USD
SPY250430C00550000,2025-04-14 19:30:27+00:00,550.0,7.79,7.84,7.89,-0.8699999,-10.046187,6974.0,31957,0.26868407104492187,False,REGULAR,USD
SPY250430C00551000,2025-04-14 19:08:15+00:00,551.0,7.49,7.23,7.3,-0.6199999,-7.6448817,207.0,654,0.2631604446411133,False,REGULAR,USD
SPY250430C00552000,2025-04-14 18:23:39+00:00,552.0,6.55,6.85,6.92,-1.0699997,-14.041991,119.0,884,0.2620923400878906,False,REGULAR,USD
SPY250430C00553000,2025-04-14 19:18:27+00:00,553.0,6.34,6.32,6.39,-0.90999985,-12.551722,689.0,1136,0.2572095764160156,False,REGULAR,USD
SPY250430C00554000,2025-04-14 19:13:39+00:00,554.0,6.2,5.83,5.89,-0.42000008,-6.3444123,63.0,766,0.2525709509277344,False,REGULAR,USD
SPY250430C00555000,2025-04-14 19:21:10+00:00,555.0,5.45,5.47,5.51,-1.0,-15.503877,1161.0,5029,0.250434741821289,False,REGULAR,USD
SPY250430C00556000,2025-04-14 16:27:51+00:00,556.0,4.96,5.01,5.08,-1.04,-17.333334,74.0,896,0.2467116345214844,False,REGULAR,USD
SPY250430C00557000,2025-04-14 18:48:30+00:00,557.0,4.49,4.63,4.69,-0.98,-17.915905,61.0,545,0.24353783813476562,False,REGULAR,USD
SPY250430C00558000,2025-04-14 18:48:30+00:00,558.0,4.13,4.3,4.35,-1.02,-19.805824,101.0,1094,0.241218525390625,False,REGULAR,USD
SPY250430C00559000,2025-04-14 19:20:18+00:00,559.0,3.81,3.89,3.95,-1.0500002,-21.60494,164.0,711,0.23694610717773437,False,REGULAR,USD
SPY250430C00560000,2025-04-14 19:31:09+00:00,560.0,3.61,3.57,3.6,-1.05,-22.532188,3771.0,7462,0.23346713806152342,False,REGULAR,USD
SPY250430C00561000,2025-04-14 17:55:00+00:00,561.0,3.16,3.22,3.27,-0.97,-23.486683,537.0,1039,0.23004920349121094,False,REGULAR,USD
SPY250430C00562000,2025-04-14 19:27:06+00:00,562.0,2.92,2.97,3.02,-0.99,-25.319693,257.0,984,0.22852333984375,False,REGULAR,USD
SPY250430C00563000,2025-04-14 18:44:01+00:00,563.0,2.72,2.66,2.7,-1.01,-27.077747,74.0,1291,0.2243729907226562,False,REGULAR,USD
SPY250430C00564000,2025-04-14 18:54:30+00:00,564.0,2.34,2.39,2.42,-1.1300001,-32.564846,133.0,440,0.22089402160644528,False,REGULAR,USD
SPY250430C00565000,2025-04-14 19:28:39+00:00,565.0,2.25,2.2,2.21,-0.9100001,-28.79747,1096.0,2624,0.2192460888671875,False,REGULAR,USD
SPY250430C00566000,2025-04-14 19:21:16+00:00,566.0,1.95,1.98,2.0,-0.8499999,-30.357141,246.0,1479,0.2171098797607422,False,REGULAR,USD
SPY250430C00567000,2025-04-14 18:48:30+00:00,567.0,1.7,1.74,1.77,-1.05,-38.181816,440.0,1603,0.2136919451904297,False,REGULAR,USD
SPY250430C00568000,2025-04-14 19:17:34+00:00,568.0,1.6,1.58,1.6,-0.9499999,-37.254898,504.0,2398,0.21204401245117185,False,REGULAR,USD
SPY250430C00569000,2025-04-14 19:20:34+00:00,569.0,1.38,1.39,1.41,-0.9699999,-41.276596,258.0,1996,0.20899228515624996,False,REGULAR,USD
SPY250430C00570000,2025-04-14 19:24:41+00:00,570.0,1.26,1.23,1.26,-0.8800001,-41.121502,2897.0,11554,0.20703917968749996,False,REGULAR,USD
SPY250430C00571000,2025-04-14 19:20:34+00:00,571.0,1.07,1.09,1.11,-0.91999996,-46.23115,280.0,1089,0.20459779785156246,False,REGULAR,USD
SPY250430C00572000,2025-04-14 19:21:33+00:00,572.0,0.98,0.99,1.01,-0.8299999,-45.85635,144.0,1122,0.2039874523925781,False,REGULAR,USD
SPY250430C00573000,2025-04-14 17:53:13+00:00,573.0,0.87,0.86,0.88,-0.59000003,-40.41096,80.0,1629,0.20142400146484374,False,REGULAR,USD
SPY250430C00574000,2025-04-14 19:10:45+00:00,574.0,0.77,0.76,0.78,-0.65999997,-46.153847,281.0,1340,0.19983710327148438,False,REGULAR,USD
SPY250430C00575000,2025-04-14 18:59:49+00:00,575.0,0.65,0.67,0.68,-0.72,-52.554745,1175.0,9575,0.1977619287109375,False,REGULAR,USD
SPY250430C00576000,2025-04-14 19:23:10+00:00,576.0,0.57,0.6,0.62,-0.64000005,-52.892567,100.0,1405,0.1977619287109375,False,REGULAR,USD
SPY250430C00577000,2025-04-14 19:07:46+00:00,577.0,0.53,0.53,0.54,-0.53,-50.0,138.0,2503,0.1959308923339844,False,REGULAR,USD
SPY250430C00578000,2025-04-14 19:11:37+00:00,578.0,0.46,0.47,0.48,-0.5799999,-55.769226,116.0,2323,0.19507640869140624,False,REGULAR,USD
SPY250430C00579000,2025-04-14 16:54:32+00:00,579.0,0.43,0.41,0.42,-0.46999997,-52.222218,10.0,737,0.19385571777343752,False,REGULAR,USD
SPY250430C00580000,2025-04-14 19:24:27+00:00,580.0,0.37,0.37,0.39,-0.46999997,-55.952377,1020.0,9413,0.1948322705078125,False,REGULAR,USD
SPY250430C00581000,2025-04-14 19:18:32+00:00,581.0,0.33,0.32,0.35,-0.39000002,-54.166664,36.0,1075,0.19458813232421873,False,REGULAR,USD
SPY250430C00582000,2025-04-14 18:12:59+00:00,582.0,0.31,0.28,0.31,-0.32999998,-51.5625,35.0,701,0.19385571777343752,False,REGULAR,USD
SPY250430C00583000,2025-04-14 18:36:04+00:00,583.0,0.26,0.25,0.28,-0.39,-60.000004,44.0,3728,0.19385571777343752,False,REGULAR,USD
SPY250430C00584000,2025-04-14 19:02:40+00:00,584.0,0.21,0.22,0.24,-0.36,-63.157894,26.0,647,0.192390888671875,False,REGULAR,USD
