contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250424C00420000,2025-04-11 17:21:39+00:00,420.0,113.78,121.21,123.29,0.0,0.0,,1,1.0308886346435548,True,REGULAR,USD
SPY250424C00465000,2025-04-10 15:59:11+00:00,465.0,60.3,77.46,77.66,0.0,0.0,,3,0.709963837890625,True,REGULAR,USD
SPY250424C00480000,2025-04-11 19:42:19+00:00,480.0,58.52,62.76,62.99,0.0,0.0,,50,0.6128578753662111,True,REGULAR,USD
SPY250424C00493000,2025-04-10 17:03:55+00:00,493.0,38.7,50.37,50.56,0.0,0.0,,1,0.5387009020996094,True,REGULAR,USD
SPY250424C00499000,2025-04-14 18:44:10+00:00,499.0,44.78,44.7,44.9,13.139999,41.52971,1.0,1,0.5041553491210937,True,REGULAR,USD
SPY250424C00500000,2025-04-11 19:59:28+00:00,500.0,45.78,43.93,44.11,5.079998,12.481567,2.0,6,0.5048267291259765,True,REGULAR,USD
SPY250424C00505000,2025-04-11 17:39:22+00:00,505.0,36.0,39.26,39.44,0.0,0.0,,1,0.47876497802734375,True,REGULAR,USD
SPY250424C00506000,2025-04-10 15:36:41+00:00,506.0,28.44,38.18,38.35,0.0,0.0,,1,0.46680220703125,True,REGULAR,USD
SPY250424C00508000,2025-04-11 16:57:56+00:00,508.0,33.25,36.33,36.54,0.0,0.0,,50,0.4564873687744141,True,REGULAR,USD
SPY250424C00510000,2025-04-11 17:06:06+00:00,510.0,31.73,34.64,34.81,0.19999886,0.63431287,10.0,56,0.44861391235351555,True,REGULAR,USD
SPY250424C00514000,2025-04-14 16:30:33+00:00,514.0,28.65,31.14,31.3,-0.38000107,-1.3089943,23.0,20,0.4293269958496094,True,REGULAR,USD
SPY250424C00515000,2025-04-14 15:53:20+00:00,515.0,27.03,30.1,30.27,-1.7600002,-6.1132345,4.0,27,0.41913422668457034,True,REGULAR,USD
SPY250424C00517000,2025-04-11 19:57:27+00:00,517.0,26.91,28.53,28.72,0.0,0.0,,1,0.4151669812011719,True,REGULAR,USD
SPY250424C00519000,2025-04-11 19:17:47+00:00,519.0,25.21,26.84,27.0,0.0,0.0,,1,0.4049742120361328,True,REGULAR,USD
SPY250424C00520000,2025-04-14 19:10:46+00:00,520.0,26.59,26.25,26.37,2.210001,9.064812,65.0,37,0.4067442138671875,True,REGULAR,USD
SPY250424C00521000,2025-04-14 15:57:50+00:00,521.0,23.12,25.21,25.36,0.42000008,1.8502206,1.0,1,0.3965514447021484,True,REGULAR,USD
SPY250424C00522000,2025-04-14 16:04:51+00:00,522.0,21.96,24.37,24.53,0.41999817,1.9498521,2.0,1,0.3917907501220703,True,REGULAR,USD
SPY250424C00523000,2025-04-11 18:21:49+00:00,523.0,21.67,23.61,23.76,0.0,0.0,,2,0.38861695373535154,True,REGULAR,USD
SPY250424C00524000,2025-04-11 14:06:38+00:00,524.0,17.8,22.66,22.78,0.0,0.0,,3,0.3789734954833984,True,REGULAR,USD
SPY250424C00525000,2025-04-14 16:06:03+00:00,525.0,19.61,21.93,22.04,-1.5599995,-7.3689156,56.0,58,0.37628797546386716,True,REGULAR,USD
SPY250424C00526000,2025-04-14 18:18:04+00:00,526.0,20.34,21.23,21.33,0.8899994,4.5758324,3.0,6,0.3742738354492187,True,REGULAR,USD
SPY250424C00527000,2025-04-14 17:34:16+00:00,527.0,18.71,20.51,20.63,-0.9700012,-4.928868,21.0,5,0.3722596954345704,True,REGULAR,USD
SPY250424C00528000,2025-04-14 13:36:10+00:00,528.0,21.45,19.53,19.64,3.6599998,20.573355,2.0,6,0.3617007189941406,True,REGULAR,USD
SPY250424C00529000,2025-04-11 19:44:42+00:00,529.0,18.28,18.9,19.05,0.0,0.0,,3,0.362311064453125,True,REGULAR,USD
SPY250424C00530000,2025-04-14 18:17:35+00:00,530.0,17.38,18.07,18.18,0.6099987,3.63744,94.0,34,0.35474278076171867,True,REGULAR,USD
SPY250424C00531000,2025-04-14 18:06:18+00:00,531.0,16.63,17.47,17.58,-0.44000053,-2.5776248,16.0,31,0.3544986425781249,True,REGULAR,USD
SPY250424C00532000,2025-04-14 17:51:55+00:00,532.0,15.23,16.71,16.77,-0.47000027,-2.9936323,24.0,4,0.348090015258789,True,REGULAR,USD
SPY250424C00533000,2025-04-14 16:43:05+00:00,533.0,14.08,15.9,15.99,-1.4400005,-9.278355,18.0,7,0.3423527679443359,True,REGULAR,USD
SPY250424C00534000,2025-04-14 17:38:53+00:00,534.0,13.62,15.33,15.41,-1.5,-9.920635,64.0,12,0.3417424224853516,True,REGULAR,USD
SPY250424C00535000,2025-04-14 19:22:18+00:00,535.0,14.74,14.43,14.51,0.53999996,3.8028166,110.0,47,0.33209896423339846,True,REGULAR,USD
SPY250424C00536000,2025-04-14 17:23:14+00:00,536.0,12.95,13.85,13.94,-0.5600004,-4.1450806,56.0,13,0.3311834460449219,True,REGULAR,USD
SPY250424C00537000,2025-04-14 19:17:54+00:00,537.0,13.59,13.05,13.12,0.64000034,4.942087,102.0,22,0.323126885986328,True,REGULAR,USD
SPY250424C00538000,2025-04-14 18:45:18+00:00,538.0,12.37,12.68,12.75,0.0,0.0,186.0,19,0.32691102783203124,True,REGULAR,USD
SPY250424C00539000,2025-04-14 18:42:24+00:00,539.0,11.55,11.87,11.95,-0.34999943,-2.9411716,168.0,3,0.31879343322753895,True,REGULAR,USD
SPY250424C00540000,2025-04-14 19:28:53+00:00,540.0,11.5,11.2,11.27,0.06000042,0.5244792,339.0,209,0.3135139450073242,False,REGULAR,USD
SPY250424C00541000,2025-04-14 19:03:07+00:00,541.0,10.47,10.62,10.67,-1.6300001,-13.471075,123.0,11,0.3100349758911133,False,REGULAR,USD
SPY250424C00542000,2025-04-14 19:30:07+00:00,542.0,10.23,9.91,9.96,-0.2300005,-2.1988575,156.0,43,0.30322962402343745,False,REGULAR,USD
SPY250424C00543000,2025-04-14 19:12:58+00:00,543.0,9.8,9.36,9.41,0.6700001,7.3384457,424.0,50,0.3002999658203125,False,REGULAR,USD
SPY250424C00544000,2025-04-14 19:17:54+00:00,544.0,9.11,8.81,8.87,-0.07999992,-0.87051064,172.0,8,0.29727875579833973,False,REGULAR,USD
SPY250424C00545000,2025-04-14 19:26:51+00:00,545.0,8.25,8.22,8.27,-0.40999985,-4.7344093,2193.0,150,0.29218237121582025,False,REGULAR,USD
SPY250424C00546000,2025-04-14 19:12:58+00:00,546.0,8.06,7.65,7.69,0.3000002,3.8659818,279.0,154,0.28717753845214833,False,REGULAR,USD
SPY250424C00547000,2025-04-14 16:13:36+00:00,547.0,6.21,7.11,7.15,-1.3800001,-18.18182,145.0,100,0.28284408569335934,False,REGULAR,USD
SPY250424C00548000,2025-04-14 19:26:48+00:00,548.0,6.65,6.68,6.73,-0.5799999,-8.022129,278.0,160,0.2813182220458984,False,REGULAR,USD
SPY250424C00549000,2025-04-14 16:19:20+00:00,549.0,5.83,6.27,6.34,-0.9500003,-14.011804,24.0,28,0.2802806347656249,False,REGULAR,USD
SPY250424C00550000,2025-04-14 19:28:22+00:00,550.0,5.91,5.71,5.77,-0.64000034,-9.770997,667.0,179,0.2735668347167969,False,REGULAR,USD
SPY250424C00555000,2025-04-14 19:28:22+00:00,555.0,3.8,3.63,3.69,-0.8700001,-18.629553,2630.0,196,0.2539747454833985,False,REGULAR,USD
SPY250424C00560000,2025-04-14 19:27:00+00:00,560.0,2.13,2.16,2.21,-0.9499998,-30.844152,556.0,299,0.23859403991699218,False,REGULAR,USD
SPY250424C00565000,2025-04-14 19:01:36+00:00,565.0,1.1,1.14,1.18,-0.92999995,-45.812805,500.0,94,0.22364057617187497,False,REGULAR,USD
SPY250424C00570000,2025-04-14 19:26:56+00:00,570.0,0.57,0.57,0.6,-0.47999996,-45.714283,642.0,294,0.21375297973632812,False,REGULAR,USD
SPY250424C00575000,2025-04-14 19:14:35+00:00,575.0,0.29,0.28,0.3,-0.39000002,-57.35294,3108.0,93,0.2082598706054687,False,REGULAR,USD
SPY250424C00580000,2025-04-14 19:13:32+00:00,580.0,0.13,0.14,0.16,-0.27,-67.5,155.0,99,0.20801573242187496,False,REGULAR,USD
SPY250424C00585000,2025-04-14 19:16:31+00:00,585.0,0.09,0.08,0.1,-0.16,-64.0,34.0,27,0.2133867724609375,False,REGULAR,USD
SPY250424C00590000,2025-04-14 14:08:22+00:00,590.0,0.09,0.05,0.07,-0.08,-47.058823,5.0,22,0.22168747070312497,False,REGULAR,USD
