contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250414C00310000,2025-04-10 19:07:07+00:00,310.0,217.18,230.84,232.19,0.0,0.0,,5,6.22168191040039,True,REGULAR,USD
SPY250414C00383000,2025-04-10 19:56:15+00:00,383.0,142.28,157.65,158.66,0.0,0.0,,1,4.006840928955079,True,REGULAR,USD
SPY250414C00388000,2025-04-09 17:07:52+00:00,388.0,116.06,153.06,154.06,0.0,0.0,,3,4.0312549609375,True,REGULAR,USD
SPY250414C00395000,2025-04-10 17:53:21+00:00,395.0,127.23,145.31,146.96,0.0,0.0,,1,3.697266381835938,True,REGULAR,USD
SPY250414C00400000,2025-04-09 17:18:52+00:00,400.0,99.96,140.48,141.72,0.0,0.0,,3,3.561036253662109,True,REGULAR,USD
SPY250414C00410000,2025-04-10 19:13:10+00:00,410.0,115.02,130.52,132.32,0.0,0.0,,2,3.426759245605469,True,REGULAR,USD
SPY250414C00411000,2025-04-09 17:18:52+00:00,411.0,89.73,129.33,131.22,0.0,0.0,,1,3.3535172412109366,True,REGULAR,USD
SPY250414C00413000,2025-04-11 13:51:13+00:00,413.0,113.75,127.86,129.19,0.0,0.0,,2,3.3857437231445306,True,REGULAR,USD
SPY250414C00414000,2025-04-08 16:31:34+00:00,414.0,98.08,126.74,128.08,0.0,0.0,,1,3.3247087194824214,True,REGULAR,USD
SPY250414C00415000,2025-04-08 15:49:54+00:00,415.0,101.28,125.82,127.34,0.0,0.0,,5,3.3535172412109366,True,REGULAR,USD
SPY250414C00418000,2025-04-09 17:18:49+00:00,418.0,83.26,122.43,124.38,0.0,0.0,,1,3.2250995935058593,True,REGULAR,USD
SPY250414C00420000,2025-04-11 18:44:48+00:00,420.0,113.63,120.86,122.31,0.0,0.0,,2,3.231447233886718,True,REGULAR,USD
SPY250414C00421000,2025-04-10 18:27:53+00:00,421.0,107.35,119.46,121.21,0.0,0.0,,11,3.1303732678222658,True,REGULAR,USD
SPY250414C00422000,2025-04-14 17:00:03+00:00,422.0,115.25,118.35,119.68,31.260002,37.21872,1.0,11,3.0019556201171875,True,REGULAR,USD
SPY250414C00423000,2025-04-14 17:33:12+00:00,423.0,114.82,118.0,118.9,-7.1800003,-5.885246,10.0,2,3.1171897070312498,True,REGULAR,USD
SPY250414C00424000,2025-04-09 17:50:55+00:00,424.0,106.26,116.35,117.73,0.0,0.0,,1,2.962893217773437,True,REGULAR,USD
SPY250414C00425000,2025-04-11 14:07:32+00:00,425.0,102.89,115.51,116.72,0.0,0.0,,7,2.9643580578613276,True,REGULAR,USD
SPY250414C00426000,2025-04-09 17:50:55+00:00,426.0,104.29,114.46,115.81,0.0,0.0,,1,2.9472682568359376,True,REGULAR,USD
SPY250414C00427000,2025-04-09 15:54:23+00:00,427.0,72.06,113.53,114.93,0.0,0.0,,2,2.9531276171874996,True,REGULAR,USD
SPY250414C00428000,2025-04-09 19:30:49+00:00,428.0,113.55,113.05,113.81,0.0,0.0,,2,2.9902368994140627,True,REGULAR,USD
SPY250414C00429000,2025-04-09 15:54:23+00:00,429.0,69.4,111.64,112.61,0.0,0.0,,2,2.8730496923828124,True,REGULAR,USD
SPY250414C00430000,2025-04-11 13:48:14+00:00,430.0,97.9,110.71,111.49,0.0,0.0,4.0,10,2.841799770507812,True,REGULAR,USD
SPY250414C00431000,2025-04-09 15:54:23+00:00,431.0,67.86,109.97,111.32,0.0,0.0,,1,2.9794947387695307,True,REGULAR,USD
SPY250414C00432000,2025-04-09 17:50:55+00:00,432.0,98.28,108.4,110.21,0.0,0.0,,3,2.8574247314453123,True,REGULAR,USD
SPY250414C00433000,2025-04-09 15:54:23+00:00,433.0,65.87,107.44,109.07,0.0,0.0,,2,2.8188506091308594,True,REGULAR,USD
SPY250414C00434000,2025-04-09 17:32:01+00:00,434.0,95.78,106.5,107.75,0.0,0.0,,3,2.755862485351563,True,REGULAR,USD
SPY250414C00435000,2025-04-09 18:55:17+00:00,435.0,99.6,105.5,107.13,0.0,0.0,,13,2.7890655273437504,True,REGULAR,USD
SPY250414C00436000,2025-04-11 15:56:22+00:00,436.0,90.5,104.85,105.85,0.0,0.0,,13,2.7753936865234374,True,REGULAR,USD
SPY250414C00437000,2025-04-09 18:40:03+00:00,437.0,101.25,103.43,105.17,0.0,0.0,,5,2.7373078442382814,True,REGULAR,USD
SPY250414C00438000,2025-04-10 19:16:05+00:00,438.0,87.63,102.58,103.89,0.0,0.0,,5,2.6948274816894533,True,REGULAR,USD
SPY250414C00439000,2025-04-10 19:16:05+00:00,439.0,86.65,101.25,102.85,0.0,0.0,,3,2.616214396972657,True,REGULAR,USD
SPY250414C00440000,2025-04-09 14:33:15+00:00,440.0,63.25,101.03,102.14,0.0,0.0,,6,2.745120324707031,True,REGULAR,USD
SPY250414C00441000,2025-04-14 14:16:22+00:00,441.0,100.36,99.51,101.04,10.43,11.597909,100.0,104,2.6357455981445312,True,REGULAR,USD
SPY250414C00442000,2025-04-09 14:33:15+00:00,442.0,61.38,98.35,100.17,0.0,0.0,,2,2.6079136364746094,True,REGULAR,USD
SPY250414C00443000,2025-04-09 17:18:49+00:00,443.0,59.21,97.93,98.61,0.0,0.0,,4,2.5874058752441402,True,REGULAR,USD
SPY250414C00444000,2025-04-10 19:07:21+00:00,444.0,83.31,96.6,97.74,0.0,0.0,,5,2.5356481921386718,True,REGULAR,USD
SPY250414C00445000,2025-04-09 17:50:55+00:00,445.0,93.7,95.28,96.72,8.269997,9.680436,1.0,6,2.463382747802734,True,REGULAR,USD
SPY250414C00446000,2025-04-10 19:07:21+00:00,446.0,81.16,94.85,95.8,0.0,0.0,,6,2.5322302319335934,True,REGULAR,USD
SPY250414C00447000,2025-04-11 15:27:19+00:00,447.0,74.74,94.05,94.75,0.0,0.0,,6,2.528812271728515,True,REGULAR,USD
SPY250414C00448000,2025-04-11 15:00:05+00:00,448.0,78.2,92.85,93.79,0.0,0.0,,7,2.4838905090332033,True,REGULAR,USD
SPY250414C00449000,2025-04-11 15:27:19+00:00,449.0,73.92,91.53,92.77,0.0,0.0,,7,2.4140664648437498,True,REGULAR,USD
SPY250414C00450000,2025-04-11 18:54:13+00:00,450.0,83.77,90.93,91.62,0.0,0.0,5.0,83,2.425296905517578,True,REGULAR,USD
SPY250414C00451000,2025-04-11 15:27:19+00:00,451.0,70.77,89.5,90.78,0.0,0.0,,5,2.3652384619140623,True,REGULAR,USD
SPY250414C00452000,2025-04-11 14:54:05+00:00,452.0,72.57,88.67,90.02,0.0,0.0,,8,2.3969766638183594,True,REGULAR,USD
SPY250414C00453000,2025-04-11 15:27:19+00:00,453.0,84.15,87.64,89.27,14.07,20.077055,,4,2.4018594641113276,True,REGULAR,USD
SPY250414C00454000,2025-04-11 15:08:45+00:00,454.0,69.39,86.94,87.82,0.0,0.0,,5,2.3588908215332025,True,REGULAR,USD
SPY250414C00455000,2025-04-11 14:50:52+00:00,455.0,70.2,85.97,86.55,0.0,0.0,,59,2.3046917382812495,True,REGULAR,USD
SPY250414C00456000,2025-04-11 15:08:45+00:00,456.0,67.94,84.51,85.76,0.0,0.0,,6,2.249027814941406,True,REGULAR,USD
SPY250414C00457000,2025-04-11 15:27:19+00:00,457.0,64.92,83.86,85.11,0.0,0.0,,8,2.3149456188964836,True,REGULAR,USD
SPY250414C00458000,2025-04-11 14:03:52+00:00,458.0,67.07,82.87,84.25,0.0,0.0,,8,2.3093303985595703,True,REGULAR,USD
SPY250414C00459000,2025-04-11 15:27:19+00:00,459.0,64.27,81.23,82.65,0.0,0.0,,6,2.127934367675781,True,REGULAR,USD
SPY250414C00460000,2025-04-11 16:25:54+00:00,460.0,67.35,80.6,81.78,0.0,0.0,10.0,15,2.170903010253906,True,REGULAR,USD
SPY250414C00461000,2025-04-11 16:06:32+00:00,461.0,67.2,79.67,80.61,0.0,0.0,,12,2.135258568115234,True,REGULAR,USD
SPY250414C00462000,2025-04-11 15:27:19+00:00,462.0,61.39,78.85,79.71,0.0,0.0,,15,2.1474655688476565,True,REGULAR,USD
