contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250425C00305000,2025-04-08 18:30:13+00:00,305.0,203.25,235.86,237.95,0.0,0.0,,1.0,1.8967290319824217,True,REGULAR,USD
SPY250425C00320000,2025-04-08 17:37:50+00:00,320.0,186.24,220.7,222.81,0.0,0.0,,11.0,1.7392591162109374,True,REGULAR,USD
SPY250425C00335000,2025-04-11 19:21:50+00:00,335.0,200.6,206.06,207.88,0.0,0.0,,1.0,1.6347674511718748,True,REGULAR,USD
SPY250425C00340000,2025-04-11 19:33:05+00:00,340.0,195.58,200.76,202.66,0.0,0.0,,,1.5605490722656248,True,REGULAR,USD
SPY250425C00350000,2025-04-11 14:47:11+00:00,350.0,177.33,190.97,193.5,0.0,0.0,,1.0,1.5363792712402344,True,REGULAR,USD
SPY250425C00355000,2025-04-11 17:23:06+00:00,355.0,177.35,185.96,188.09,0.0,0.0,,5.0,1.4719264685058593,True,REGULAR,USD
SPY250425C00365000,2025-04-09 13:34:52+00:00,365.0,132.62,175.85,178.51,0.0,0.0,,1.0,1.40625296875,True,REGULAR,USD
SPY250425C00385000,2025-04-11 19:21:50+00:00,385.0,151.1,156.01,158.22,0.0,0.0,,1.0,1.2407264526367183,True,REGULAR,USD
SPY250425C00390000,2025-04-11 19:33:05+00:00,390.0,150.75,150.96,153.81,4.669998,3.1968772,1.0,1.0,1.2260780883789062,True,REGULAR,USD
SPY250425C00395000,2025-04-10 15:01:02+00:00,395.0,133.5,146.69,148.3,0.0,0.0,,25.0,1.1965372204589846,True,REGULAR,USD
SPY250425C00400000,2025-04-11 14:47:11+00:00,400.0,128.29,141.27,143.34,0.0,0.0,1.0,38.0,1.1418499938964843,True,REGULAR,USD
SPY250425C00405000,2025-04-09 17:24:57+00:00,405.0,120.85,136.27,138.4,0.0,0.0,,11.0,1.106205640869141,True,REGULAR,USD
SPY250425C00420000,2025-04-11 13:45:08+00:00,420.0,108.36,121.85,122.09,0.0,0.0,1.0,8.0,0.9649661706542969,True,REGULAR,USD
SPY250425C00425000,2025-04-11 15:34:28+00:00,425.0,101.87,117.06,117.26,0.0,0.0,1.0,1.0,0.9433599414062499,True,REGULAR,USD
SPY250425C00430000,2025-04-08 13:36:10+00:00,430.0,92.29,112.13,112.37,0.0,0.0,4.0,8.0,0.9135750830078125,True,REGULAR,USD
SPY250425C00435000,2025-04-04 15:13:39+00:00,435.0,90.24,107.07,107.3,0.0,0.0,4.0,4.0,0.8724377990722656,True,REGULAR,USD
SPY250425C00440000,2025-04-11 19:35:42+00:00,440.0,101.4,102.41,102.65,4.739998,4.9037843,1.0,2.0,0.8598646826171875,True,REGULAR,USD
SPY250425C00445000,2025-04-04 17:02:30+00:00,445.0,72.63,97.18,97.39,0.0,0.0,4.0,4.0,0.8071308349609375,True,REGULAR,USD
SPY250425C00450000,2025-04-14 16:44:15+00:00,450.0,88.74,92.34,92.54,6.1500015,7.446424,6.0,23.0,0.7811301184082031,True,REGULAR,USD
SPY250425C00455000,2025-04-10 18:10:16+00:00,455.0,88.33,87.39,87.65,15.849998,21.8681,5.0,34.0,0.7497583618164063,True,REGULAR,USD
SPY250425C00460000,2025-04-14 17:44:40+00:00,460.0,78.94,82.45,82.65,13.400002,20.445532,3.0,16.0,0.7153348779296875,True,REGULAR,USD
SPY250425C00463000,2025-04-11 14:23:26+00:00,463.0,63.7,78.94,79.88,0.0,0.0,,1.0,0.6854279504394531,True,REGULAR,USD
SPY250425C00465000,2025-04-09 16:03:35+00:00,465.0,43.64,77.78,78.0,0.0,0.0,34.0,46.0,0.6981231359863282,True,REGULAR,USD
SPY250425C00470000,2025-04-11 19:52:51+00:00,470.0,68.22,72.77,72.98,0.0,0.0,5.0,36.0,0.6604037866210939,True,REGULAR,USD
SPY250425C00475000,2025-04-09 19:24:07+00:00,475.0,68.53,68.01,68.22,0.0,0.0,3.0,30.0,0.6357458300781251,True,REGULAR,USD
SPY250425C00478000,2025-04-11 18:16:56+00:00,478.0,60.94,65.08,65.29,0.0,0.0,,1.0,0.6168251208496094,True,REGULAR,USD
SPY250425C00480000,2025-04-14 18:00:29+00:00,480.0,61.51,63.29,63.51,4.2599983,7.441045,9.0,77.0,0.6120644262695314,True,REGULAR,USD
SPY250425C00482000,2025-04-10 15:13:02+00:00,482.0,51.53,61.1,61.29,0.0,0.0,,1.0,0.5872844006347657,True,REGULAR,USD
SPY250425C00483000,2025-04-11 17:38:22+00:00,483.0,54.55,60.33,60.56,0.0,0.0,,2.0,0.591373715209961,True,REGULAR,USD
SPY250425C00485000,2025-04-14 14:33:58+00:00,485.0,59.98,58.24,58.47,4.5999985,8.306245,1.0,109.0,0.5720867987060547,True,REGULAR,USD
SPY250425C00486000,2025-04-14 14:34:49+00:00,486.0,58.92,57.35,57.56,6.8999977,13.264124,1.0,1.0,0.5689740368652343,True,REGULAR,USD
SPY250425C00489000,2025-04-10 16:27:01+00:00,489.0,55.51,54.79,55.0,17.73,46.929592,2.0,4.0,0.5650678259277344,True,REGULAR,USD
SPY250425C00490000,2025-04-14 19:25:07+00:00,490.0,54.04,53.87,54.09,10.23,23.35083,10.0,136.0,0.5607954077148438,True,REGULAR,USD
SPY250425C00491000,2025-04-10 19:47:02+00:00,491.0,48.9,52.57,52.77,8.07,19.764877,2.0,45.0,0.5399215930175782,True,REGULAR,USD
SPY250425C00492000,2025-04-10 16:27:03+00:00,492.0,35.39,51.53,51.75,0.0,0.0,,120.0,0.5308884802246094,True,REGULAR,USD
SPY250425C00493000,2025-04-10 19:19:19+00:00,493.0,42.34,50.56,50.76,0.0,0.0,,32.0,0.5239915765380858,True,REGULAR,USD
SPY250425C00494000,2025-04-09 19:09:42+00:00,494.0,46.51,49.66,49.87,0.0,0.0,,59.0,0.5205736419677733,True,REGULAR,USD
SPY250425C00495000,2025-04-14 19:09:25+00:00,495.0,49.57,48.68,48.88,3.709999,8.089836,11.0,334.0,0.5133715655517577,True,REGULAR,USD
SPY250425C00496000,2025-04-11 19:43:34+00:00,496.0,44.55,47.95,48.15,0.0,0.0,,108.0,0.5163622583007812,True,REGULAR,USD
SPY250425C00497000,2025-04-11 20:14:09+00:00,497.0,43.79,46.92,47.1,0.0,0.0,,87.0,0.506840869140625,True,REGULAR,USD
